Entry,Titel,Dag,DAG,Maand,MAAND,Jaar,URL_full,URL_cut_out,keywords
74,Leeuwarder courant,18,18,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586040:mpeg21:p008:image&coords=ddd:010586040:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586040:mpeg21:p008:image&coords=ddd:010586040:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.0688899577788&x=91&h=2000&y=1643,"['bil*k*', 'rente*']"
75,Leeuwarder courant,20,20,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586041:mpeg21:p004:image&coords=ddd:010586041:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586041:mpeg21:p004:image&coords=ddd:010586041:mpeg21:p004:alto&w=1000&colour=fefe56&s=0.53175932572917&x=522&h=2000&y=426,"['hypothe*', 'le']"
76,Leeuwarder courant,22,22,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586042:mpeg21:p003:image&coords=ddd:010586042:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586042:mpeg21:p003:image&coords=ddd:010586042:mpeg21:p003:alto&w=1000&colour=fefe56&s=1.0997470581766&x=2052&h=2000&y=3040,"['eerste*', 'hypothe*', 'hypothe*b*', 'Hypothe*r', 'Ie', 'Pandbrie*', 'verban*']"
77,Leeuwarder courant,29,29,11,11,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586045:mpeg21:p003:image&coords=ddd:010586045:mpeg21:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586045:mpeg21:p003:image&coords=ddd:010586045:mpeg21:p003:alto&w=1000&colour=fefe56&s=0.53354675203415&x=501&h=2000&y=-82,"['hypothe*', 'Ie', 'le']"
78,Leeuwarder courant,06,6,12,12,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586048:mpeg21:p006:image&coords=ddd:010586048:mpeg21:p006:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586048:mpeg21:p006:image&coords=ddd:010586048:mpeg21:p006:alto&w=1000&colour=fefe56&s=1.0785741250067&x=2005&h=2000&y=3902,"['hypothe*', 'Hypothe*r', 'le', 'onderpa*', 'Pandbrie*', 'soli*d*', 'verban*']"
79,Leeuwarder courant,09,9,12,12,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586049:mpeg21:p008:image&coords=ddd:010586049:mpeg21:p008:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586049:mpeg21:p008:image&coords=ddd:010586049:mpeg21:p008:alto&w=1000&colour=fefe56&s=1.0909289259805&x=2091&h=2000&y=1798,"['b*sch*kba*r', 'hypoth*', 'hypothe*', 'notaris']"
80,Leeuwarder courant,09,9,12,12,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586049:mpeg21:p012:image&coords=ddd:010586049:mpeg21:p012:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586049:mpeg21:p012:image&coords=ddd:010586049:mpeg21:p012:alto&w=1000&colour=fefe56&s=1.1178180192265&x=2137&h=2000&y=-402,"['gevr*g*', 'leen', 'rente*', 'tegen']"
81,Leeuwarder courant,16,16,12,12,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586051:mpeg21:p012:image&coords=ddd:010586051:mpeg21:p012:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586051:mpeg21:p012:image&coords=ddd:010586051:mpeg21:p012:alto&w=1000&colour=fefe56&s=1.0847163466753&x=1083&h=2000&y=140,"['gevr*g*', 'rente*', 'tegen']"
82,Leeuwarder courant,20,20,12,12,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586053:mpeg21:p004:image&coords=ddd:010586053:mpeg21:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010586053:mpeg21:p004:image&coords=ddd:010586053:mpeg21:p004:alto&w=1000&colour=fefe56&s=1.0997470581766&x=3055&h=2000&y=1988,"['hypothe*', 'le']"
83,Provinciale Overijsselsche en Zwolsche courant,04,4,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065486:mpeg21:p004:image&coords=MMHCO01:000065486:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065486:mpeg21:p004:image&coords=MMHCO01:000065486:p004:alto&w=1000&colour=fefe56&s=0.97082665890005&x=207&h=2000&y=2350,"['1ste', 'eerste*', 'hypothe*']"
84,Provinciale Overijsselsche en Zwolsche courant,15,15,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065497:mpeg21:p003:image&coords=MMHCO01:000065497:p003:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065497:mpeg21:p003:image&coords=MMHCO01:000065497:p003:alto&w=1000&colour=fefe56&s=0.99935042222555&x=1088&h=2000&y=2584,"['gevr*g*', 'rente*', 'tegen']"
85,Provinciale Overijsselsche en Zwolsche courant,18,18,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065499:mpeg21:p004:image&coords=MMHCO01:000065499:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065499:mpeg21:p004:image&coords=MMHCO01:000065499:p004:alto&w=1000&colour=fefe56&s=0.94858660595712&x=226&h=2000&y=125,"['gevr*g*', 'rente*', 'tegen']"
86,Provinciale Overijsselsche en Zwolsche courant,26,26,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065509:mpeg21:p004:image&coords=MMHCO01:000065509:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065509:mpeg21:p004:image&coords=MMHCO01:000065509:p004:alto&w=1000&colour=fefe56&s=0.49654898455733&x=633&h=2000&y=-841,"['eerste*', 'hypothe*', 'le']"
87,Provinciale Overijsselsche en Zwolsche courant,31,31,01,1,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065513:mpeg21:p004:image&coords=MMHCO01:000065513:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065513:mpeg21:p004:image&coords=MMHCO01:000065513:p004:alto&w=1000&colour=fefe56&s=0.47714476572192&x=570&h=2000&y=-841,"['eerste*', 'hypothe*']"
88,Provinciale Overijsselsche en Zwolsche courant,17,17,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065532:mpeg21:p004:image&coords=MMHCO01:000065532:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065532:mpeg21:p004:image&coords=MMHCO01:000065532:p004:alto&w=1000&colour=fefe56&s=0.98386462022826&x=1175&h=2000&y=-756,"['gevr*g*', 'hypothe*b*', 'Pandbrie*', 'rente*', 'tegen']"
89,Provinciale Overijsselsche en Zwolsche courant,22,22,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065536:mpeg21:p004:image&coords=MMHCO01:000065536:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065536:mpeg21:p004:image&coords=MMHCO01:000065536:p004:alto&w=1000&colour=fefe56&s=0.48124353329002&x=89&h=2000&y=-671,"['eerste*', 'hypothe*']"
90,Provinciale Overijsselsche en Zwolsche courant,23,23,02,2,1870,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065537:mpeg21:p004:image&coords=MMHCO01:000065537:p004:alto&w=1000&colour=fefe56,https://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065537:mpeg21:p004:image&coords=MMHCO01:000065537:p004:alto&w=1000&colour=fefe56&s=0.48246248854152&x=103&h=2000&y=-680,"['eerste*', 'hypothe*', 'Ie']"
